"注：
1. 本体资源创建时，带*红色字段为必填字段；同一对象的多个属性信息前，只需要重复填写“对象英文名称”。
2. 每列名称请勿修改，修改后会导致导入出错。实际使用时，样例数据需删除。",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
EquipmentHolder,,,,height,术语height,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的高度。这是一个可选属性。,,
EquipmentHolder,,,,measurementUnits,术语measurementUnits,String,"该属性定义该对象的深度、高度和宽度属性的测量单位。值包括：
0：未知（或未测量）
1：英寸
2：脚
3：毫米
4：厘米
5：米
这是一个可选属性。但是，如果定义了 Depth、Height 或 Width 属性中的任何一个，则该属性是必需的。（«required»）",,
EquipmentHolder,,,,weight,术语weight,String,此属性使用 WeightUnits 属性中指定的单位定义 ManagedComponent 的权重。这是一个可选属性。,,
EquipmentHolder,,,,weightUnits,术语weightUnits,String,"该属性定义该对象的重量属性的单位。值包括：
0：未知（未测量）
1：盎司
2：磅
3：克
4：公斤
这是一个可选属性。但是，如果定义了 Weight 属性，则该属性是必需的。（«required»）",,
EquipmentHolder,,,,width,术语width,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的宽度。这是一个可选属性。,,
EquipmentHolder,,,,manufactureDate,manufacture日期,String,这是一个字符串属性，以固定格式“dd/mm/yyyy”定义该商品的制造日期。这是一个可选属性。（«required»）,,
EquipmentHolder,,,,otherIdentifier,术语otherIdentifier,String,这是一个字符串，用于包含硬件项目的其他重要识别数据，例如条形码。这是一个可选属性。,,
EquipmentHolder,,,,powerState,power状态,String,"这是一个枚举整数，定义硬件项的当前电源状态。值包括：
0：未知
1：不适用
2：未通电
3：全功率应用
4：省电-正常
5：省电 - 降级
6：省电-待机
7：省电 - 关键
8：省电 - 低功耗模式
9：省电 - 未知
10：电源循环
11：电源警告
12：关闭电源
值 1 表示硬件项目不需要直接施加电源（例如，螺栓或螺栓）。如果此项的值为 3，则 PowerCapability 类将通过 HasPower 关联描述此项的特定电源要求。
这是一个可选属性。",,
EquipmentHolder,,,,serialNumber,serial编号,String,这是一个字符串，表示制造商分配的编号，用于标识同一硬件项目的不同实例。 ModelNumber 和 PartNumber 属性用于标识不同类型的硬件项目。（«required»）,,
EquipmentHolder,,,,versionNumber,版本编号,String,这是一个标识该对象版本的字符串。这是一个可选属性。,,
EquipmentHolder,,,,usageState,使用量状态,String,"这是一个枚举整数，定义对象的当前使用情况。它包括以下值：
0：未知
1：未安装
2：已安装
3：不活动
4：空闲
5：活跃，但能够沟通
6：忙（活跃且无法通讯）
值 2 表示该对象已安装（或以其他方式激活），但没有有关其状态的其他信息可用。值 3-6 表示该对象已安装，并提供有关其状态的更多信息。
这是一个可选属性。",,
EquipmentHolder,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
EquipmentHolder,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
EquipmentHolder,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
Equipment Holder ABE.HolderAtomic ABE,EquipmentHolderABE.HolderAtomicABE,,启用,,,,,,
AdjacentSlotDetails,术语AdjacentSlotDetails,该关联类表示 AdjacentSlots 关联的语义。它包括两个属性，用于提供描述 EquipmentHolder 中插槽的一般布局信息。第一个是 DistanceBetweenSlots，定义 PhysicalPackage 中两个相邻插槽之间的距离（以英寸为单位）。第二个是 SharedSlots，是一个布尔属性，描述两个彼此靠近的 Slot 之间的依赖关系。有时，两个插槽非常接近，如果其中一个插槽装有适配器卡，则另一个插槽必须留空。如果此属性设置为 TRUE，则第二个 Slot 必须未被占用。此关联描述了 EquipmentHolder 中 Slot 的布局。该关联作为关联类来实现。,启用,description,描述,String,这是一个字符串，定义对象的文本自由格式描述。,,
AdjacentSlotDetails,,,,ID,标识,String,明确区分不同的对象实例。,是,
AdjacentSlotDetails,,,,name,名称,String,表示对象的用户友好标识符。,,是
AdjacentSlotDetails,,,,sharedSlots,术语sharedSlots,String,这是一个布尔属性，如果为 TRUE，则意味着如果此插槽（即插槽 n）由适配器卡填充，则下一个插槽（即插槽 n+1）必须留空。这是因为插槽通常位置非常接近，因此如果其中一个插槽被占用，则没有空间访问下一个插槽。这是必需的属性。,,
AdjacentSlotDetails,,,,slotSpacingMax,slotSpacing最大,String,这是一个 16 位无符号整数属性，指示插槽之间的最大间距（以英寸为单位）。这是必需的属性。,,
AdjacentSlotDetails,,,,slotSpacingMin,slotSpacing最小,String,这是一个 16 位无符号整数属性，指示插槽之间的最小间距（以英寸为单位）。这是必需的属性。,,
HolderAtomic,术语HolderAtomic,"此类代表可单独管理的设备的原子持有者，并且不形成复合或嵌套的设备持有者。
每个HolderAtomic对象都可以是一个FRU。",启用,physicalDescription,physical描述,String,这是一个自由格式的字符串，定义了该支架的物理独特特征。这是一个可选属性。,,
HolderAtomic,,,,uniquePhysical,唯一Physical,String,这是一个布尔属性，如果为 TRUE，则意味着该持有者在物理上与其他持有者不同，并且旨在持有特殊类型的设备（例如，双宽卡或比正常卡更长的卡）。这是一个可选属性。,,
HolderAtomic,,,,acceptableEquipmentList,acceptableEquipment列表,String,这是一个基于 M.3100 的字符串数组，用于标识该对象可以支持的设备对象的类型。这是一个可选属性。（«required»）,,
HolderAtomic,,,,acceptableEquipmentTypeList,acceptableEquipment类型列表,String,该属性标识了设备持有者可以支持的设备类型。（«required»）,,
HolderAtomic,,,,asapRef,术语asapRef,String,该属性指示向 EquipmentHolder 分配警报严重性分配配置文件 (ASAP)。（«required»）,,
HolderAtomic,,,,expectedOrInstalledEquipmentRef,术语expectedOrInstalledEquipmentRef,String,该属性标识设备支架中预期或安装的设备对象（如果有）。如果设备支架为空或仅包含其他设备支架，则为 Null。（«required»）,,
HolderAtomic,,,,holderStatus,holder状态,String,"该属性基于M.3100，指示EquipmentHolder的状态。值包括：
0：未知
1：已安装并可接受
2：已安装但不可接受
3：未安装
4：安装和可接受的不匹配
5：不可用
这是一个可选属性。",,
HolderAtomic,,,,isReportingAlarms,术语isReportingAlarms,String,该属性指示该设备支架的警报报告是启用（true）还是禁用（false）。（«required»）,,
HolderAtomic,,,,isSolitaryHolder,术语isSolitaryHolder,String,这是一个布尔属性，如果为 TRUE，则将此 EquipmentHolder 定义为仅包含一个 ManagedComponent。如果为 FALSE，则此 EquipmentHolder 包含嵌套的 ManagedComponents。这是必需的属性。,,
HolderAtomic,,,,ituArcStateAndStatusList,ituArc状态And状态列表,String,"请参阅 R_TMF518_NRB_I_0001 和 R_TMF518_NRB_I_0004。
参见支持文档SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf（«required»）",,
HolderAtomic,,,,manufacturer,术语manufacturer,String,该属性标识设备支架制造商名称。它被定义为一个非空的自由格式字符串，没有语义。（«required»）,,
HolderAtomic,,,,state,状态,String,该属性标识设备持有者的状态。（«required»）,,
HolderAtomic,,,,type,类型,String,该属性标识Holder的类型（例如，Rack（或Bay），Shelf，Sub-shelf，Slot，Subslot，Remote-unit或Remote-subslot）。（«required»）,,
HolderAtomic,,,,typeOfHolder,类型OfHolder,String,"这是一个枚举整数，用于标识该对象实例所属的 Holder 的类型。它基于 M.3100，但包含附加值：
0：未知
1：机架
2：海湾
3：底盘
4：架子
5：插槽
6：子槽位
7：子架
这是必需的属性。",,
HolderAtomic,,,,hotSwappable,术语hotSwappable,String,"这是一个布尔属性，定义当包含的设备已通电时是否可以用物理上不同但等效的对象实例替换该对象实例。 TRUE 表示可热插拔，FALSE 表示不可热插拔。
所有可热插拔的物理组件本质上都是可拆卸和可更换的。
这是必需的属性。（«required»）",,
HolderAtomic,,,,removable,术语removable,String,"这是一个布尔值，定义是否可以在安装该对象实例的设备中插入和删除该对象实例，而不会损害设备的功能或包装。 TRUE 表示可移除，FALSE 表示不可移除。
如果必须“关闭”电源才能执行移除，则包仍然可以移除。如果电源可以“打开”并且该对象实例仍然可以被移除，则该对象实例既是可移除的又是可热插拔的。
这是必需的属性。（«required»）",,
HolderAtomic,,,,replaceable,术语replaceable,String,"这是一个布尔值，定义是否可以用相同类型的物理上不同的实例替换该对象实例。例如，某些类型的设备允许对各种芯片进行升级。 TRUE 表示可替换，FALSE 表示不可替换。
所有可拆卸套件本质上都是可更换的。
这是必需的属性。（«required»）",,
HolderAtomic,,,,additionalInfo,术语additionalInfo,String,"这是一个自由格式的字符串，用于包含有关受管元素的其他特定于供应商的信息，例如特定于供应商的资产跟踪号或特殊安装说明。它还可用于映射特定于供应商的命名（例如，端口 1 与 E0/2/1 相同）。该值可以为 NULL。
这是一个可选属性。",,
HolderAtomic,,,,administrativeState,administrative状态,String,"该属性是一个枚举整数，描述 ManagedHardware 的当前物理状态。值包括：
0：未知
1：解锁
2：锁定
3：关闭
4：启动
5：测试
6：保养
7：不适用
8：无法通知
这是必需的属性。（«required»）",,
HolderAtomic,,,,coolingRequirements,术语coolingRequirements,String,这是一个自由格式的字符串，指定此 ManagedComponents 的冷却要求。具体的冷却信息由冷却协会定义。这是一个可选属性。,,
HolderAtomic,,,,hardwarePurpose,术语hardwarePurpose,String,"这是一个定义 ManagedHardware 用途的枚举整数。值包括：
1：必填
2：可选
3：冗余
4：故障转移
5：其他
这是一个可选属性。",,
HolderAtomic,,,,physicalAlarmReportingEnabled,术语physicalAlarmReportingEnabled,String,"这是一个布尔属性，定义是否启用此对象实例的警报报告。 TRUE 表示允许报告，FALSE 表示禁止报告。
请注意，某些物理实体无法报告物理警报，而另一些则可以。对于那些无法报告物理警报的人，该值必须设置为 FALSE。
请记住，这是用于物理警报报告。大多数情况下，都有相应的逻辑报警。 ManagementEntity 类层次结构描述并关联了这些。
这是必需的属性。（«required»）",,
HolderAtomic,,,,physicalAlarmStatus,physicalAlarm状态,String,"这是一个枚举整数，指示与对象相关的异常物理状况的发生。该属性还可以用作与特定资源相关联的警报条件的汇总指示符。它用于指示警报条件、待处理警报条件（例如阈值情况）或（当用作摘要指示器时）活动警报条件的最高严重性的存在。
该属性扩展了标准 ITU 语义并更新了它们以包含 eTOM 概念。值包括：
0：未知
1：activeReportable-Critical
2：activeReportable-主要
3：activeReportable-次要
4：主动可报告-不确定
5：activeReportable-警告
6：主动待决决定
7：活跃-underRepair
8：主动被替换
9：清除
这是必需的属性。（«required»）",,
HolderAtomic,,,,depth,术语depth,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的深度。这是一个可选属性。,,
HolderAtomic,,,,height,术语height,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的高度。这是一个可选属性。,,
HolderAtomic,,,,measurementUnits,术语measurementUnits,String,"该属性定义该对象的深度、高度和宽度属性的测量单位。值包括：
0：未知（或未测量）
1：英寸
2：脚
3：毫米
4：厘米
5：米
这是一个可选属性。但是，如果定义了 Depth、Height 或 Width 属性中的任何一个，则该属性是必需的。（«required»）",,
HolderAtomic,,,,weight,术语weight,String,此属性使用 WeightUnits 属性中指定的单位定义 ManagedComponent 的权重。这是一个可选属性。,,
HolderAtomic,,,,weightUnits,术语weightUnits,String,"该属性定义该对象的重量属性的单位。值包括：
0：未知（未测量）
1：盎司
2：磅
3：克
4：公斤
这是一个可选属性。但是，如果定义了 Weight 属性，则该属性是必需的。（«required»）",,
HolderAtomic,,,,width,术语width,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的宽度。这是一个可选属性。,,
HolderAtomic,,,,manufactureDate,manufacture日期,String,这是一个字符串属性，以固定格式“dd/mm/yyyy”定义该商品的制造日期。这是一个可选属性。（«required»）,,
HolderAtomic,,,,otherIdentifier,术语otherIdentifier,String,这是一个字符串，用于包含硬件项目的其他重要识别数据，例如条形码。这是一个可选属性。,,
HolderAtomic,,,,powerState,power状态,String,"这是一个枚举整数，定义硬件项的当前电源状态。值包括：
0：未知
1：不适用
2：未通电
3：全功率应用
4：省电-正常
5：省电 - 降级
6：省电-待机
7：省电 - 关键
8：省电 - 低功耗模式
9：省电 - 未知
10：电源循环
11：电源警告
12：关闭电源
值 1 表示硬件项目不需要直接施加电源（例如，螺栓或螺栓）。如果此项的值为 3，则 PowerCapability 类将通过 HasPower 关联描述此项的特定电源要求。
这是一个可选属性。",,
HolderAtomic,,,,serialNumber,serial编号,String,这是一个字符串，表示制造商分配的编号，用于标识同一硬件项目的不同实例。 ModelNumber 和 PartNumber 属性用于标识不同类型的硬件项目。（«required»）,,
HolderAtomic,,,,versionNumber,版本编号,String,这是一个标识该对象版本的字符串。这是一个可选属性。,,
HolderAtomic,,,,usageState,使用量状态,String,"这是一个枚举整数，定义对象的当前使用情况。它包括以下值：
0：未知
1：未安装
2：已安装
3：不活动
4：空闲
5：活跃，但能够沟通
6：忙（活跃且无法通讯）
值 2 表示该对象已安装（或以其他方式激活），但没有有关其状态的其他信息可用。值 3-6 表示该对象已安装，并提供有关其状态的更多信息。
这是一个可选属性。",,
HolderAtomic,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
HolderAtomic,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
HolderAtomic,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
Slot,术语Slot,这是一个具体的类，有两个主要目的。一种是对托管板接受子卡以添加或完成托管板的基本功能的能力进行建模。第二个是表示机箱支持的不同扩展插槽。,启用,hasAdapter,术语hasAdapter,String,这是一个布尔属性，如果为 TRUE，则表示该插槽安装了适配器，使其能够接受其他类型的卡（例如，在两个插槽上安装适配器使它们能够接受原本无法容纳的卡）。如果其值为 FALSE，则表示不存在适配器。这是一个可选属性。,,
Slot,,,,purposeDescription,purpose描述,String,这是一个自由格式的字符串，定义了该插槽的物理独特特征。这是一个可选属性。,,
Slot,,,,slotNumber,slot编号,String,这是一个 16 位无符号整数属性，表示系统槽表的索引。例如，这可以是每个扩展槽的硬件 ID 号（从 1 开始）。该数量与插槽是否被占用无关。这是必需的属性。,,
Slot,,,,slotPurpose,术语slotPurpose,String,"这是一个枚举整数，定义了该插槽的用途。下面的特定值（例如系统）表示该插槽仅用于接受系统卡。值包括：
0：未知
1：系统
2：网络
3：端口适配器
4：记忆
5：硬件辅助
6：视频
7：通用计算
8：通用
硬件辅助是专业板的通用类别，提供硬件功能以协助处理一个或多个功能。例如，用于处理基于 IPsec 的加密的特殊卡。
通用计算板代表具有附加和/或辅助计算能力的卡，可用于各种任务（不仅仅是视频渲染或加密）。
通用板代表具有多种功能（例如内存和计算）的卡。
这是一个可选属性。",,
Slot,,,,physicalDescription,physical描述,String,这是一个自由格式的字符串，定义了该支架的物理独特特征。这是一个可选属性。,,
Slot,,,,uniquePhysical,唯一Physical,String,这是一个布尔属性，如果为 TRUE，则意味着该持有者在物理上与其他持有者不同，并且旨在持有特殊类型的设备（例如，双宽卡或比正常卡更长的卡）。这是一个可选属性。,,
Slot,,,,acceptableEquipmentList,acceptableEquipment列表,String,这是一个基于 M.3100 的字符串数组，用于标识该对象可以支持的设备对象的类型。这是一个可选属性。（«required»）,,
Slot,,,,acceptableEquipmentTypeList,acceptableEquipment类型列表,String,该属性标识了设备持有者可以支持的设备类型。（«required»）,,
Slot,,,,asapRef,术语asapRef,String,该属性指示向 EquipmentHolder 分配警报严重性分配配置文件 (ASAP)。（«required»）,,
Slot,,,,expectedOrInstalledEquipmentRef,术语expectedOrInstalledEquipmentRef,String,该属性标识设备支架中预期或安装的设备对象（如果有）。如果设备支架为空或仅包含其他设备支架，则为 Null。（«required»）,,
Slot,,,,holderStatus,holder状态,String,"该属性基于M.3100，指示EquipmentHolder的状态。值包括：
0：未知
1：已安装并可接受
2：已安装但不可接受
3：未安装
4：安装和可接受的不匹配
5：不可用
这是一个可选属性。",,
Slot,,,,isReportingAlarms,术语isReportingAlarms,String,该属性指示该设备支架的警报报告是启用（true）还是禁用（false）。（«required»）,,
Slot,,,,isSolitaryHolder,术语isSolitaryHolder,String,这是一个布尔属性，如果为 TRUE，则将此 EquipmentHolder 定义为仅包含一个 ManagedComponent。如果为 FALSE，则此 EquipmentHolder 包含嵌套的 ManagedComponents。这是必需的属性。,,
Slot,,,,ituArcStateAndStatusList,ituArc状态And状态列表,String,"请参阅 R_TMF518_NRB_I_0001 和 R_TMF518_NRB_I_0004。
参见支持文档SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf（«required»）",,
Slot,,,,manufacturer,术语manufacturer,String,该属性标识设备支架制造商名称。它被定义为一个非空的自由格式字符串，没有语义。（«required»）,,
Slot,,,,state,状态,String,该属性标识设备持有者的状态。（«required»）,,
Slot,,,,type,类型,String,该属性标识Holder的类型（例如，Rack（或Bay），Shelf，Sub-shelf，Slot，Subslot，Remote-unit或Remote-subslot）。（«required»）,,
Slot,,,,typeOfHolder,类型OfHolder,String,"这是一个枚举整数，用于标识该对象实例所属的 Holder 的类型。它基于 M.3100，但包含附加值：
0：未知
1：机架
2：海湾
3：底盘
4：架子
5：插槽
6：子槽位
7：子架
这是必需的属性。",,
Slot,,,,hotSwappable,术语hotSwappable,String,"这是一个布尔属性，定义当包含的设备已通电时是否可以用物理上不同但等效的对象实例替换该对象实例。 TRUE 表示可热插拔，FALSE 表示不可热插拔。
所有可热插拔的物理组件本质上都是可拆卸和可更换的。
这是必需的属性。（«required»）",,
Slot,,,,removable,术语removable,String,"这是一个布尔值，定义是否可以在安装该对象实例的设备中插入和删除该对象实例，而不会损害设备的功能或包装。 TRUE 表示可移除，FALSE 表示不可移除。
如果必须“关闭”电源才能执行移除，则包仍然可以移除。如果电源可以“打开”并且该对象实例仍然可以被移除，则该对象实例既是可移除的又是可热插拔的。
这是必需的属性。（«required»）",,
Slot,,,,replaceable,术语replaceable,String,"这是一个布尔值，定义是否可以用相同类型的物理上不同的实例替换该对象实例。例如，某些类型的设备允许对各种芯片进行升级。 TRUE 表示可替换，FALSE 表示不可替换。
所有可拆卸套件本质上都是可更换的。
这是必需的属性。（«required»）",,
Slot,,,,additionalInfo,术语additionalInfo,String,"这是一个自由格式的字符串，用于包含有关受管元素的其他特定于供应商的信息，例如特定于供应商的资产跟踪号或特殊安装说明。它还可用于映射特定于供应商的命名（例如，端口 1 与 E0/2/1 相同）。该值可以为 NULL。
这是一个可选属性。",,
Slot,,,,administrativeState,administrative状态,String,"该属性是一个枚举整数，描述 ManagedHardware 的当前物理状态。值包括：
0：未知
1：解锁
2：锁定
3：关闭
4：启动
5：测试
6：保养
7：不适用
8：无法通知
这是必需的属性。（«required»）",,
Slot,,,,coolingRequirements,术语coolingRequirements,String,这是一个自由格式的字符串，指定此 ManagedComponents 的冷却要求。具体的冷却信息由冷却协会定义。这是一个可选属性。,,
Slot,,,,hardwarePurpose,术语hardwarePurpose,String,"这是一个定义 ManagedHardware 用途的枚举整数。值包括：
1：必填
2：可选
3：冗余
4：故障转移
5：其他
这是一个可选属性。",,
Slot,,,,physicalAlarmReportingEnabled,术语physicalAlarmReportingEnabled,String,"这是一个布尔属性，定义是否启用此对象实例的警报报告。 TRUE 表示允许报告，FALSE 表示禁止报告。
请注意，某些物理实体无法报告物理警报，而另一些则可以。对于那些无法报告物理警报的人，该值必须设置为 FALSE。
请记住，这是用于物理警报报告。大多数情况下，都有相应的逻辑报警。 ManagementEntity 类层次结构描述并关联了这些。
这是必需的属性。（«required»）",,
Slot,,,,physicalAlarmStatus,physicalAlarm状态,String,"这是一个枚举整数，指示与对象相关的异常物理状况的发生。该属性还可以用作与特定资源相关联的警报条件的汇总指示符。它用于指示警报条件、待处理警报条件（例如阈值情况）或（当用作摘要指示器时）活动警报条件的最高严重性的存在。
该属性扩展了标准 ITU 语义并更新了它们以包含 eTOM 概念。值包括：
0：未知
1：activeReportable-Critical
2：activeReportable-主要
3：activeReportable-次要
4：主动可报告-不确定
5：activeReportable-警告
6：主动待决决定
7：活跃-underRepair
8：主动被替换
9：清除
这是必需的属性。（«required»）",,
Slot,,,,depth,术语depth,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的深度。这是一个可选属性。,,
Slot,,,,height,术语height,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的高度。这是一个可选属性。,,
Slot,,,,measurementUnits,术语measurementUnits,String,"该属性定义该对象的深度、高度和宽度属性的测量单位。值包括：
0：未知（或未测量）
1：英寸
2：脚
3：毫米
4：厘米
5：米
这是一个可选属性。但是，如果定义了 Depth、Height 或 Width 属性中的任何一个，则该属性是必需的。（«required»）",,
Slot,,,,weight,术语weight,String,此属性使用 WeightUnits 属性中指定的单位定义 ManagedComponent 的权重。这是一个可选属性。,,
Slot,,,,weightUnits,术语weightUnits,String,"该属性定义该对象的重量属性的单位。值包括：
0：未知（未测量）
1：盎司
2：磅
3：克
4：公斤
这是一个可选属性。但是，如果定义了 Weight 属性，则该属性是必需的。（«required»）",,
Slot,,,,width,术语width,String,此属性使用MeasurementUnits 属性中指定的单位定义 ManagedComponent 的宽度。这是一个可选属性。,,
Slot,,,,manufactureDate,manufacture日期,String,这是一个字符串属性，以固定格式“dd/mm/yyyy”定义该商品的制造日期。这是一个可选属性。（«required»）,,
Slot,,,,otherIdentifier,术语otherIdentifier,String,这是一个字符串，用于包含硬件项目的其他重要识别数据，例如条形码。这是一个可选属性。,,
Slot,,,,powerState,power状态,String,"这是一个枚举整数，定义硬件项的当前电源状态。值包括：
0：未知
1：不适用
2：未通电
3：全功率应用
4：省电-正常
5：省电 - 降级
6：省电-待机
7：省电 - 关键
8：省电 - 低功耗模式
9：省电 - 未知
10：电源循环
11：电源警告
12：关闭电源
值 1 表示硬件项目不需要直接施加电源（例如，螺栓或螺栓）。如果此项的值为 3，则 PowerCapability 类将通过 HasPower 关联描述此项的特定电源要求。
这是一个可选属性。",,
Slot,,,,serialNumber,serial编号,String,这是一个字符串，表示制造商分配的编号，用于标识同一硬件项目的不同实例。 ModelNumber 和 PartNumber 属性用于标识不同类型的硬件项目。（«required»）,,
Slot,,,,versionNumber,版本编号,String,这是一个标识该对象版本的字符串。这是一个可选属性。,,
Slot,,,,usageState,使用量状态,String,"这是一个枚举整数，定义对象的当前使用情况。它包括以下值：
0：未知
1：未安装
2：已安装
3：不活动
4：空闲
5：活跃，但能够沟通
6：忙（活跃且无法通讯）
值 2 表示该对象已安装（或以其他方式激活），但没有有关其状态的其他信息可用。值 3-6 表示该对象已安装，并提供有关其状态的更多信息。
这是一个可选属性。",,
Slot,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
Slot,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
Slot,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
Equipment Holder ABE.HolderComposite ABE,EquipmentHolderABE.HolderCompositeABE,,启用,,,,,,
Bay,术语Bay,"托架是一种设备支架，旨在容纳各种类型的设备。它有一个逻辑标识符，通常是基于 TL1 的交换机中端口 AID 的组成部分。
请注意，Bay 的逻辑标识符通常与设备（即网络元素）相关联。这意味着湾明确地是网络逻辑模型的一部分。
托架通常构建为预接线的硬件组件，其中包含一组架子和随附的辅助设备。",启用,cableManagementStrategy,cableManagement策略,String,这是一个自由格式的字符串，其中包含有关如何连接和捆绑机箱、机架或其他类型的 HolderComposite 对象中包含的各种电缆的信息。此属性包含有助于组装和维修 SecureHolder 对象中包含的电缆的信息。这是一个可选属性。,,
Bay,,,,mountingOptions,术语mountingOptions,String,"这是一个枚举的 16 位无符号整数，定义了该实体中的设备如何安装。值包括：
0：未知
1：独立式
2：机架式，自由存取
3：机架式安装，限制访问
4：封装在另一个机箱中
这是一个可选属性。",,
Bay,,,,serviceApproach,服务Approach,String,"这是一个枚举的整数值数组，定义了如何服务该实体（例如，从顶部或前面），是否具有滑动托盘或可移动侧面，和/或框架是否可移动（例如，它有滚轮）。值包括：
0：未知
1：定制
2：自上而下的服务
3：前台服务
4：后勤服务
5：侧面服务
6：滑动托盘
7：可拆卸侧面
8：可移动
这是一个可选属性。",,
Bay,,,,acceptableEquipmentList,acceptableEquipment列表,String,这是一个基于 M.3100 的字符串数组，用于标识该对象可以支持的设备对象的类型。这是一个可选属性。（«required»）,,
Bay,,,,acceptableEquipmentTypeList,acceptableEquipment类型列表,String,该属性标识了设备持有者可以支持的设备类型。（«required»）,,
Bay,,,,asapRef,术语asapRef,String,该属性指示向 EquipmentHolder 分配警报严重性分配配置文件 (ASAP)。（«required»）,,
Bay,,,,expectedOrInstalledEquipmentRef,术语expectedOrInstalledEquipmentRef,String,该属性标识设备支架中预期或安装的设备对象（如果有）。如果设备支架为空或仅包含其他设备支架，则为 Null。（«required»）,,
Bay,,,,holderStatus,holder状态,String,"该属性基于M.3100，指示EquipmentHolder的状态。值包括：
0：未知
1：已安装并可接受
2：已安装但不可接受
3：未安装
4：安装和可接受的不匹配
5：不可用
这是一个可选属性。",,
Bay,,,,isReportingAlarms,术语isReportingAlarms,String,该属性指示该设备支架的警报报告是启用（true）还是禁用（false）。（«required»）,,
Bay,,,,isSolitaryHolder,术语isSolitaryHolder,String,这是一个布尔属性，如果为 TRUE，则将此 EquipmentHolder 定义为仅包含一个 ManagedComponent。如果为 FALSE，则此 EquipmentHolder 包含嵌套的 ManagedComponents。这是必需的属性。,,
Bay,,,,ituArcStateAndStatusList,ituArc状态And状态列表,String,"请参阅 R_TMF518_NRB_I_0001 和 R_TMF518_NRB_I_0004。
参见支持文档SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf（«required»）",,
Bay,,,,manufacturer,术语manufacturer,String,该属性标识设备支架制造商名称。它被定义为一个非空的自由格式字符串，没有语义。（«required»）,,
Bay,,,,state,状态,String,该属性标识设备持有者的状态。（«required»）,,
Bay,,,,type,类型,String,该属性标识Holder的类型（例如，Rack（或Bay），Shelf，Sub-shelf，Slot，Subslot，Remote-unit或Remote-subslot）。（«required»）,,
Bay,,,,typeOfHolder,类型OfHolder,String,"这是一个枚举整数，用于标识该对象实例所属的 Holder 的类型。它基于 M.3100，但包含附加值：
0：未知
1：机架
2：海湾
3：底盘
4：架子
5：插槽
6：子槽位
7：子架
这是必需的属性。",,
Bay,,,,hotSwappable,术语hotSwappable,String,"这是一个布尔属性，定义当包含的设备已通电时是否可以用物理上不同但等效的对象实例替换该对象实例。 TRUE 表示可热插拔，FALSE 表示不可热插拔。
所有可热插拔的物理组件本质上都是可拆卸和可更换的。
这是必需的属性。（«required»）",,
Bay,,,,removable,术语removable,String,"这是一个布尔值，定义是否可以在安装该对象实例的设备中插入和删除该对象实例，而不会损害设备的功能或包装。 TRUE 表示可移除，FALSE 表示不可移除。
如果必须“关闭”电源才能执行移除，则包仍然可以移除。如果电源可以“打开”并且该对象实例仍然可以被移除，则该对象实例既是可移除的又是可热插拔的。
这是必需的属性。（«required»）",,
Bay,,,,replaceable,术语replaceable,String,"这是一个布尔值，定义是否可以用相同类型的物理上不同的实例替换该对象实例。例如，某些类型的设备允许对各种芯片进行升级。 TRUE 表示可替换，FALSE 表示不可替换。
所有可拆卸套件本质上都是可更换的。
这是必需的属性。（«required»）",,
